latitude,longitude,fid (int),XTRID (string),BAUART (string),BAUJAHR (string),BAULEITER (string),BEMERKUNG (string),BETREIBER (string),BETRIEBSFÜ (string),DARSTELLUN (int),DREHMOMENT (float),EIGENTÜMER (string),EINBAUJAHR (string),ENTLÜFTUNG (string),FABRIKATTY (string),FUNKTIONSP (string),GSP_TYP (string),GANGZAHL (float),GEMEINDENA (string),GEMEINDESC (string),HAUSNUMMER (string),HERSTELLER (string),HINWEISSCH (string),ID (float),LAGE_DES_H (string),LAGE_ZUR_L (string),LEISTUNG (float),LEITUNGSFU (string),LOGISCHE_I (string),MATERIAL (string),MAX__BAUTE (string),MAX__SYSTE (string),MESSUNGSAR (string),MONTEUR (string),NENNDRUCK_ (string),NENNWEITE_ (string),NENNWEITE1 (float),NENNWEITE2 (float),NENNWEITE3 (string),NENNWEITE4 (string),NENNWEITE5 (string),NENNWEITE6 (float),NENNWEITE7 (float),NETZBETREI (string),NETZZUGEHÖ (string),NUMMERIERU (string),ORTSTEILNA (string),ORTSTEILSC (string),PRÜFDRUCK_ (string),PRÜFTURNUS (string),PÄCHTER (string),ROHRKENNZA (string),ROHRVERLEG (string),SAP_ID (string),SCHLIEßRIC (string),SCHLÜSSELB (string),SICHERUNGS (string),SKIZZE_POI (float),SONDERFUNK (string),SPÜLTRUPP (string),STATUS (string),STATUS_SEI (string),STRAßENNAM (string),STRAßENSCH (string),SUBCODE (float),SYSTEMBETR (string),TN_PRÜFUNG (string),TN_STATUS (float),TEXT_ID (float),TIEFBAUFIR (string),VERBINDUNG (string),VORSCHIEBE (string),GS_ID (float),RWO_ID (string),ÜBERGANG_A (string)
47.9755341537076,7.92481902639077,1,8273582,Unterflurhydrant,,,Gemeindeschl.: 5432 Strassenschl.: 22938 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,1,,,8273582,,auf dem Rohr,0,Anschlussleitung,ID-8273582,,,,,,,,51.4000015259,0,,50,,0,0,,AW,EWK Kirchzarten,,,,,,,,100548185,,402,,787463,Hydrant auf Leitung,,in Betrieb,,Krüttweg,0831506422938,0,,BP: OK ÜP: OK,0,2153800,,,nein,0,1780433-797864234-8273585,
47.9712799264054,7.95366707158013,2,26018296,Unterflurhydrant,,,,,,0,0,,,,,,,0,Kirchzarten,08315064,6b,,,26018296,im Straßenkörper,auf dem Rohr,0,"Anschlussleitung, blind",ID-26018296,,,,,,,,0,0,,unbekannt,,0,0,,AW,EWK Kirchzarten,,,,,,,,100693202,rechts,425,,2555268,Hydrant auf Leitung,,in Betrieb,,Lindenbergstraße,0831506422948,0,,BP: OK ÜP: OK,0,0,,,ja,0,1780439-829443296-26018299,
47.9626659624641,7.94386742387337,3,25936673,Unterflurhydrant,,,,,,0,0,,2017/01/01,,,,,0,Kirchzarten,08315064,3,,,25936673,im Straßenkörper,auf dem Rohr,0,Zubringerleitung,ID-25936673,(GGG) Duktiles Gusseisen,,,,,,,147.1999969482,0,,150,,0,0,,ZW,EWK Kirchzarten,,,,,,,,100690365,rechts,031,,2550960,Hydrant auf Leitung,,in Betrieb,,Am Engenberg,0831506422711,0,,BP: OK ÜP: OK,0,0,,,nein,0,1780441-329165314-25936676,
47.9790756240488,7.94955168160854,4,10640550,Unterflurhydrant,,,Gemeindeschl.: 5431 Strassenschl.: 22884 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,34,,,10640550,,unbekannt,0,Versorgungsleitung,ID-10640550,,,,,,,,150,0,,150,,0,0,,VW,EWK Kirchzarten,,,,,,,,100549301,,600,,1086546,Hydrant auf Leitung,,in Betrieb,,Wittentalstraße,0831506423090,0,,BP: OK ÜP: OK,0,2228587,,,nein,0,1780439-423654913-10640553,
47.9792104344615,7.94868269923488,5,9228077,Unterflurhydrant,,,Gemeindeschl.: 5432 Strassenschl.: 22729 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,7,,,9228077,,unbekannt,0,Versorgungsleitung,ID-9228077,,,,,,,,125,0,,125,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548739,,072,,834752,Endhydrant bis 1 m,,in Betrieb,,Am Rainle,0831506422729,0,,BP: OK ÜP: OK,0,2154449,,,nein,0,1780439-423566787-9228080,
47.978886746617,7.94689152765763,6,9216127,Unterflurhydrant,,,Gemeindeschl.: 5432 Strassenschl.: 22742 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,10,,,9216127,,unbekannt,0,Versorgungsleitung,ID-9216127,,,,,,,,125,0,,125,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548729,,084,,834335,Endhydrant bis 4 m,,in Betrieb,,Attentalstraße,0831506422742,0,,BP: OK ÜP: OK,0,2154439,,,nein,0,1780439-435414591-9216130,
47.9780764951795,7.94597720306821,7,9215892,Überflurhydrant,,,Gemeindeschl.: 5432 Strassenschl.: 22774 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,43,,,9215892,,unbekannt,0,Hydrantenleitung,ID-9215892,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548728,,126,,834305,Abgesetzter Hydrant bis 4 m,,in Betrieb,,Bundesstraße,0831506422774,1,,BP: OK ÜP: OK,0,2154438,,,ja,0,1780439-436092918-9215895,
47.9781877887842,7.94986443117013,8,9227812,Überflurhydrant,,,Gemeindeschl.: 5432 Strassenschl.: 9600 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,FN54,,,9227812,,unbekannt,0,Hydrantenleitung,ID-9227812,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548738,,602,,834720,Abgesetzter Hydrant bis 4 m,,in Betrieb,,Wittentalstraße,0831506423090,1,,BP: OK ÜP: OK,0,2154448,,,nein,0,1780439-428339194-9227815,
47.9777669756442,7.94749393716697,9,9216195,Überflurhydrant,,,Gemeindeschl.: 5432 Strassenschl.: 22774 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,FN20,,,9216195,,unbekannt,0,Hydrantenleitung,ID-9216195,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548730,,132,,834344,Abgesetzter Hydrant bis 1 m,,in Betrieb,,Bundesstraße,0831506422774,1,,BP: OK ÜP: OK,0,2154440,,,ja,0,1780439-436712066-9216198,
47.9776064153391,7.94826865607628,10,9217030,Unterflurhydrant,,,Gemeindeschl.: 5432 Strassenschl.: 22774 Hausnummer: unset,,,0,0,,,,,,,0,Kirchzarten,08315064,21,,,9217030,,unbekannt,0,Hydrantenleitung,ID-9217030,,,,,,,,0,0,,unbekannt,,0,0,,VW,EWK Kirchzarten,,,,,,,,100548732,,130,,834443,Abgesetzter Hydrant bis 4 m,,in Betrieb,,Bundesstraße,0831506422774,0,,BP: OK ÜP: OK,0,2154442,,,ja,0,1780439-436637093-9217033,
